id,name,tier,collection,outfit_block
001,Day One Hoodie,1,garage,"heather-grey pullover hoodie with drawstrings, dark jeans, white low-top sneakers"
002,Ship It Tee,1,garage,"plain navy t-shirt with tiny orange rocket print, khaki chinos, canvas slip-ons"
003,Garage Flannel,1,garage,"red-and-black check flannel shirt open over white tee, work jeans, brown boots"
004,Campus Crew,1,garage,"oversized collegiate crewneck sweatshirt in slate blue, grey joggers, running shoes"
005,Denim Dreamer,1,garage,"classic denim jacket over cream tee, black jeans, white sneakers"
006,Cap & Grind,1,garage,"curved-brim navy baseball cap, olive tee, cargo shorts, skate shoes"
007,Cargo Builder,1,garage,"tan multi-pocket cargo pants, black utility tee, tool lanyard, work sneakers"
008,Trailhead Vest,1,garage,"puffy navy gilet vest over plaid shirt, hiking pants, trail shoes"
009,Track Startup,1,garage,"retro track jacket with white side stripes, matching track pants, runners"
010,Crunch Time PJs,1,garage,"striped pajama set, fuzzy slippers, sleep mask pushed up on forehead, coffee mug in hand"
011,First Desk,1,office,"light-blue oxford shirt tucked into beige chinos, brown belt, loafers"
012,Quiet Analyst,1,office,"soft grey knit cardigan over white shirt, navy slacks, round glasses"
013,Casual Friday,1,office,"forest-green polo shirt, khakis, white leather sneakers"
014,Ivy Intern,1,office,"cream sweater tied over shoulders, striped shirt, pressed trousers, penny loafers"
015,Client Ready,1,office,"navy blazer over plain tee, dark jeans, suede loafers"
016,Commuter,1,office,"belted beige trench coat over office wear, leather messenger bag, umbrella"
017,Soft Launch,2,office,"unstructured charcoal blazer over turtleneck-lite knit, tapered trousers"
018,Deal Desk,2,office,"white dress shirt with sleeves rolled, dark suspenders, pinstripe trousers, loose tie"
019,Junior Partner,2,office,"grey waistcoat over crisp shirt with navy tie, matching trousers"
020,Monochrome Minimal,2,office,"all-black fine-knit turtleneck and slim trousers, minimalist watch"
021,The Standard,2,corporate,"classic two-button navy suit, white shirt, slate tie"
022,Boardroom Charcoal,2,corporate,"charcoal suit with subtle sheen, light-grey shirt, black knit tie"
023,The Closer,2,corporate,"dark pinstripe three-piece suit and confident grin"
024,Portfolio Check,2,corporate,"grey windowpane-pattern suit, pale blue shirt, pocket square"
025,Managing Director,2,corporate,"navy double-breasted suit with peak lapels, gold tie bar"
026,Old Reliable,2,corporate,"earthy brown suit, cream shirt, knitted burgundy tie"
027,Modern Exec,2,corporate,"slim black suit, no tie, crisp white shirt open at collar, minimal sneakers"
028,Quarterly Review,2,corporate,"grey three-piece suit with waistcoat chain detail"
029,Power Move,3,corporate,"deep burgundy suit with black satin lapels, black shirt"
030,White Collar,3,corporate,"immaculate all-white suit, pale gold tie, white gloves"
031,Block Founder,1,street,"olive bomber jacket over white tee, black jeans, chunky sneakers"
032,Drop Day,1,street,"oversized graphic hoodie in washed black, cargo joggers, hyped sneakers"
033,Bucket List,1,street,"patterned bucket hat, camp-collar shirt, shorts, slides with socks"
034,Heat Check,1,street,"varsity-style tee, track pants, glowing limited-edition basketball sneakers, sneaker box under arm"
035,Letterman,1,street,"wool varsity jacket with leather sleeves and chenille ""N"" patch, jeans"
036,Deck Check,1,street,"skater flannel around waist, band tee, ripped jeans, skate shoes, beanie"
037,Ghost Mode,2,street,"all-black techwear: layered shell jacket, straps, tapered pants, futuristic sneakers"
038,Winter Hustle,2,street,"glossy long puffer coat in deep navy, orange beanie, gloves"
039,Self Made,2,street,"crisp white tee with thin gold chain, designer belt, luxe joggers, pristine sneakers"
040,Camo Ops,2,street,"urban-camo utility jacket, black turtleneck, combat boots"
041,Mad Avenue '62,2,retro,"slim 60s grey suit, skinny black tie, tie clip, side-parted hair"
042,Groovy Ledger '74,2,retro,"brown corduroy blazer with wide lapels, patterned shirt with huge collar, flared trousers"
